fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
01,03076,0103076,Auburn city,Alabama,0,1990,33830,72.11999999999999,85.21,5.64,17143,16687,27016,5531,1132,60,6,33516,314
01,07000,0107000,Birmingham city,Alabama,1,1990,265968,46.58,74.71,14.84,121437,144531,95655,168277,1453,321,25,264930,1038
01,21184,0121184,Dothan city,Alabama,0,1990,53589,45.22,72.48,12.65,25154,28435,38312,14639,416,136,8,53230,359
01,35896,0135896,Hoover city,Alabama,1,1990,39788,49.61,76.58,9.85,18823,20965,37886,1318,471,47,3,39422,366
01,37000,0137000,Huntsville city,Alabama,1,1990,159789,49.3,76.82,10.0,77676,82113,116065,39016,3342,816,90,157810,1979
01,50000,0150000,Mobile city,Alabama,1,1990,196278,45.96,73.47,13.71,91040,105238,117022,76407,1956,443,36,194276,2002
01,51000,0151000,Montgomery city,Alabama,1,1990,187106,47.9,72.34,11.700000000000001,87085,100021,105778,79217,1342,355,29,185602,1504
01,77256,0177256,Tuscaloosa city,Alabama,1,1990,77759,55.57,79.63,11.690000000000001,37134,40625,48871,27598,1034,106,9,77157,602
02,03000,0203000,Anchorage city,Alaska,1,1990,226338,55.24,70.54,3.65,116367,109971,182736,14544,9713,14569,1197,217080,9258
04,04720,0404720,Avondale city,Arizona,1,1990,16169,46.94,63.980000000000004,7.19,8156,8013,9528,747,185,217,18,7898,8271
04,07940,0407940,Buckeye town,Arizona,0,1990,5038,43.53,65.38000000000001,9.9,2500,2538,3791,204,44,111,0,3649,1389
04,12000,0412000,Chandler city,Arizona,1,1990,90533,54.47,68.19,5.01,44889,45644,77114,2321,2060,1105,93,74891,15642
04,23620,0423620,Flagstaff city,Arizona,0,1990,45857,61.970000000000006,74.87,4.32,22737,23120,36519,1135,622,4210,35,38885,6972
04,27400,0427400,Gilbert town,Arizona,1,1990,29188,54.059999999999995,64.14,3.1300000000000003,14561,14627,26362,464,476,141,24,25806,3382
04,27820,0427820,Glendale city,Arizona,1,1990,148134,50.660000000000004,70.81,7.88,72638,75496,125884,4455,3010,1402,140,125223,22911
04,28380,0428380,Goodyear city,Arizona,0,1990,6258,59.36,76.89,5.800000000000001,3806,2452,4470,452,76,163,16,4478,1780
04,46000,0446000,Mesa city,Arizona,1,1990,288091,48.02,71.45,12.4,141470,146621,259472,5342,3826,3018,529,256734,31357
04,54050,0454050,Peoria city,Arizona,1,1990,50618,44.11,70.92,14.879999999999999,24263,26355,44012,1107,686,300,47,42762,7856
04,55000,0455000,Phoenix city,Arizona,1,1990,983403,49.919999999999995,72.84,9.68,487589,495814,803332,51053,15340,18225,963,786300,197103
04,65000,0465000,Scottsdale city,Arizona,1,1990,130069,44.3,82.17999999999999,16.3,61321,68748,124895,992,1535,799,65,123866,6203
04,71510,0471510,Surprise town,Arizona,1,1990,7122,35.339999999999996,69.8,18.17,3542,3580,3896,113,8,37,1,3206,3916
04,73000,0473000,Tempe city,Arizona,1,1990,141865,60.160000000000004,78.41,6.5600000000000005,72954,68911,123209,4542,5594,1877,154,126435,15430
04,77000,0477000,Tucson city,Arizona,1,1990,405390,50.68,75.48,12.629999999999999,197319,208071,305055,17366,8506,6464,395,286795,118595
04,85540,0485540,Yuma city,Arizona,1,1990,54923,46.2,69.22,12.0,27107,27816,40103,2088,840,603,89,35346,19577
05,15190,0515190,Conway city,Arkansas,0,1990,26481,56.58,78.53,11.75,12265,14216,23521,2658,170,84,3,26338,143
05,23290,0523290,Fayetteville city,Arkansas,1,1990,42099,59.8,79.61,9.67,21029,21070,39206,1580,645,481,12,41496,603
05,24550,0524550,Fort Smith city,Arkansas,1,1990,72798,44.82,74.61,14.95,34774,38024,62790,5590,2960,1001,21,71766,1032
05,35710,0535710,Jonesboro city,Arkansas,1,1990,46535,50.91,76.27000000000001,11.200000000000001,22297,24238,42238,3701,375,156,6,46288,247
05,41000,0541000,Little Rock city,Arkansas,1,1990,175795,49.220000000000006,75.11,12.55,81587,94208,113707,59742,1512,449,17,174458,1337
05,50450,0550450,North Little Rock city,Arkansas,0,1990,61741,43.980000000000004,74.68,15.35,28978,32763,46502,14584,240,202,13,61225,516
05,60410,0560410,Rogers city,Arkansas,0,1990,24692,44.519999999999996,74.76,16.24,11827,12865,24128,16,183,224,8,24232,460
05,66080,0566080,Springdale city,Arkansas,1,1990,29941,46.07,73.36,12.629999999999999,14353,15588,29095,33,275,338,17,29495,446
06,00562,0600562,Alameda city,California,1,1990,76459,54.04,80.21000000000001,11.81,40403,36056,53454,5140,14137,534,580,69509,6950
06,00884,0600884,Alhambra city,California,1,1990,82106,52.1,77.23,12.97,39104,43002,33543,1643,31236,351,77,52480,29626
06,02000,0602000,Anaheim city,California,1,1990,266406,52.52,74.1,8.37,134832,131574,190309,6780,23959,1425,1059,182651,83755
06,02252,0602252,Antioch city,California,1,1990,62195,50.23,69.15,7.62,30664,31531,53130,1626,2801,691,204,52476,9719
06,02364,0602364,Apple Valley town,California,1,1990,46079,45.269999999999996,68.17999999999999,9.89,22782,23297,39980,1778,1070,481,68,40266,5813
06,02553,0602553,Arden-Arcade CDP,California,0,1990,92040,47.5,80.32000000000001,16.0,43417,48623,82031,3577,3480,941,206,85671,6369
06,03526,0603526,Bakersfield city,California,1,1990,174820,49.03,69.19,9.15,84920,89900,127018,16509,6050,2005,197,138966,35854
06,03666,0603666,Baldwin Park city,California,1,1990,69330,51.800000000000004,64.83,5.57,34997,34333,38523,1687,8380,509,128,20279,49051
06,04982,0604982,Bellflower city,California,1,1990,61815,50.23,73.96000000000001,10.83,30358,31457,43129,3874,5900,560,335,47039,14776
06,06000,0606000,Berkeley city,California,1,1990,102724,60.68,85.71,10.95,51024,51700,63833,19281,14983,653,195,94135,8589
