Our Column,Column Name,Concept,Formula
PER_AGE_15TO44,P0110010,Persons Age 15 yrs,100*(Sum of these columns/total population)
,P0110011,Persons Age 16 yrs,
,P0110012,Persons Age 17 yrs,
,P0110013,Persons Age 18 yrs,
,P0110014,Persons Age 19 yrs,
,P0110015,Persons Age 20 yrs,
,P0110016,Persons Age 21 yrs,
,P0110017,Persons Age 22-24 yrs,
,P0110018,Persons Age 25-29 yrs,
,P0110019,Persons Age 30-34 yrs,
,P0110020,Persons Age 35-39 yrs,
,P0110021,Persons Age 40-44 yrs,
,,,
PER_AGE_18PLUS,P0110013,Persons Age 18 yrs,100*(Sum of these columns/total population)
,P0110014,Persons Age 19 yrs,
,P0110015,Persons Age 20 yrs,
,P0110016,Persons Age 21 yrs,
,P0110017,Persons Age 22-24 yrs,
,P0110018,Persons Age 25-29 yrs,
,P0110019,Persons Age 30-34 yrs,
,P0110020,Persons Age 35-39 yrs,
,P0110021,Persons Age 40-44 yrs,
,P0110022,Persons Age 45-49 yrs,
,P0110023,Persons Age 50-54 yrs,
,P0110024,Persons Age 55-59 yrs,
,P0110025,Persons Age 60-61 yrs,
,P0110026,Persons Age 62-64 yrs,
,P0110027,Persons Age 65-69 yrs,
,P0110028,Persons Age 70-74 yrs,
,P0110029,Persons Age 75-79 yrs,
,P0110030,Persons Age 80-84 yrs,
,P0110031,Persons Age 85+ yrs,
,,,
PER_AGE_65PLUS,P0110027,Persons Age 65-69 yrs,100*(Sum of these columns/total population)
,P0110028,Persons Age 70-74 yrs,
,P0110029,Persons Age 75-79 yrs,
,P0110030,Persons Age 80-84 yrs,
,P0110031,Persons Age 85+ yrs,
