Fips_State,Fips_Place,Fips_State_Place,City_Name,St_Name,NYU_500_Largest,Year,Pop_Total,Per_15to44_years(%),Per_18_years_and_over(%),Per_65_years_and_over(%),Pop_Male,Pop_Female,Pop_White,Pop_Black,Pop_Asian,Pop_AIAN,Pop_NHOPI,Pop_Nonhispanic,Pop_Hispanic
01,07000,0107000,Birmingham city,Alabama,1,1990,265968,46.58,74.71,14.84,121437,144531,95655,168277,1453,321,25,264930,1038
01,35896,0135896,Hoover city,Alabama,1,1990,39788,49.61,76.58,9.85,18823,20965,37886,1318,471,47,3,39422,366
01,37000,0137000,Huntsville city,Alabama,1,1990,159789,49.30,76.82,10.00,77676,82113,116065,39016,3342,816,90,157810,1979
01,50000,0150000,Mobile city,Alabama,1,1990,196278,45.96,73.47,13.71,91040,105238,117022,76407,1956,443,36,194276,2002
01,51000,0151000,Montgomery city,Alabama,1,1990,187106,47.90,72.34,11.70,87085,100021,105778,79217,1342,355,29,185602,1504
01,77256,0177256,Tuscaloosa city,Alabama,1,1990,77759,55.57,79.63,11.69,37134,40625,48871,27598,1034,106,9,77157,602
02,03000,0203000,Anchorage city,Alaska,1,1990,226338,55.24,70.54,3.65,116367,109971,182736,14544,9713,14569,1197,217080,9258
04,04720,0404720,Avondale city,Arizona,1,1990,16169,46.94,63.98,7.19,8156,8013,9528,747,185,217,18,7898,8271
04,12000,0412000,Chandler city,Arizona,1,1990,90533,54.47,68.19,5.01,44889,45644,77114,2321,2060,1105,93,74891,15642
04,27400,0427400,Gilbert town,Arizona,1,1990,29188,54.06,64.14,3.13,14561,14627,26362,464,476,141,24,25806,3382
04,27820,0427820,Glendale city,Arizona,1,1990,148134,50.66,70.81,7.88,72638,75496,125884,4455,3010,1402,140,125223,22911
04,46000,0446000,Mesa city,Arizona,1,1990,288091,48.02,71.45,12.40,141470,146621,259472,5342,3826,3018,529,256734,31357
04,54050,0454050,Peoria city,Arizona,1,1990,50618,44.11,70.92,14.88,24263,26355,44012,1107,686,300,47,42762,7856
04,55000,0455000,Phoenix city,Arizona,1,1990,983403,49.92,72.84,9.68,487589,495814,803332,51053,15340,18225,963,786300,197103
04,65000,0465000,Scottsdale city,Arizona,1,1990,130069,44.30,82.18,16.30,61321,68748,124895,992,1535,799,65,123866,6203
04,71510,0471510,Surprise town,Arizona,1,1990,7122,35.34,69.80,18.17,3542,3580,3896,113,8,37,1,3206,3916
04,73000,0473000,Tempe city,Arizona,1,1990,141865,60.16,78.41,6.56,72954,68911,123209,4542,5594,1877,154,126435,15430
04,77000,0477000,Tucson city,Arizona,1,1990,405390,50.68,75.48,12.63,197319,208071,305055,17366,8506,6464,395,286795,118595
04,85540,0485540,Yuma city,Arizona,1,1990,54923,46.20,69.22,12.00,27107,27816,40103,2088,840,603,89,35346,19577
05,23290,0523290,Fayetteville city,Arkansas,1,1990,42099,59.80,79.61,9.67,21029,21070,39206,1580,645,481,12,41496,603
05,24550,0524550,Fort Smith city,Arkansas,1,1990,72798,44.82,74.61,14.95,34774,38024,62790,5590,2960,1001,21,71766,1032
05,35710,0535710,Jonesboro city,Arkansas,1,1990,46535,50.91,76.27,11.20,22297,24238,42238,3701,375,156,6,46288,247
05,41000,0541000,Little Rock city,Arkansas,1,1990,175795,49.22,75.11,12.55,81587,94208,113707,59742,1512,449,17,174458,1337
05,66080,0566080,Springdale city,Arkansas,1,1990,29941,46.07,73.36,12.63,14353,15588,29095,33,275,338,17,29495,446
06,00562,0600562,Alameda city,California,1,1990,76459,54.04,80.21,11.81,40403,36056,53454,5140,14137,534,580,69509,6950
06,00884,0600884,Alhambra city,California,1,1990,82106,52.10,77.23,12.97,39104,43002,33543,1643,31236,351,77,52480,29626
