ET variable name,Example data,Format,Original Variable name,Original Variable Description,Source Table,Source file,Source origin,Calculation or Transformation
FIPS_STATE,36,Text (coded),STATE,State FIPS CODE,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
FIPS_PLACE,51000,Text (coded),PLACE,Place FIPS CODE,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
FIPS_STATE_PLACE,3651000,Text (coded),None,None,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,Combined STATE+PLACE
CITY_NAME,New York city,Text,NAME,City Name,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
ST_NAME,New York,Text,STNAME,State Name,Geocodes,https://github.com/kschnippel/Reference_Place/tree/master/Geocodes,https://www2.census.gov/programs-surveys/popest/geographies/,None
NYU_500_LARGEST,1,Boolean,Calculated,None,NYU City Health Dataset,https://github.com/kschnippel/Census/blob/master/Urban/City_Health_data/top_500_pop.xlsx,https://www.cityhealthdashboard.com/,Using coding to check whether a city is in NYU CHD or not.
YEAR,1990,Integer,YEAR,Year of estimate,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,last 4 digit from Popestimate
POP_TOTAL,7322564,Integer,P0010001,Total population from ACS Survey,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
PER_AGE_15TO44,3533387,float(Percentage),Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Age Chart Tab"
PER_AGE_18PLUS,5635846,float(Percentage),Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Age Chart Tab"
PER_AGE_65PLUS,953317,float(Percentage),Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Age Chart Tab"
POP_MALE,3437687,Integer,P0050001,Estimate!!Total!!Male,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
POP_FEMALE,3884877,Integer,P0050002,Estimate Total Female,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
POP_WHITE,3827088,Integer,Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Race Chart Tab"
POP_BLACK,2102512,Integer,Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Race Chart Tab"
POP_ASIAN,509955,Integer,Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Race Chart Tab"
POP_AIAN,27531,Integer,Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Race Chart Tab"
POP_NHOPI,2764,Integer,Calculated,,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,"For Calculation, please see Race Chart Tab"
POP_NONHISPANIC,5539053,Integer,P0090001,Estimate!!Total!!Not Hispanic or Latino,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
POP_HISPANIC,1783511,Integer,P0080001,Estimate!!Total!!Hispanic or Latino,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,,https://api.census.gov/data/1990/sf1/variables.html,None
