Our Variable,Variable Name,Variable Label,Calculation or Transformation
Per_15to44_years(%),P012006,SEX BY AGE:Male:15 to 17,"100*(sum(P012006
P012007
P012008
P012009
P012010
P012011
P012012
P012013
P012014
P012030
P012031
P012032
P012033
P012034
P012035
P012036
P012037
P012038)/P001001)"
,P012007,SEX BY AGE:Male:18'&'19,
,P012008,SEX BY AGE:Male:20,
,P012009,SEX BY AGE:Male:21,
,P012010,SEX BY AGE:Male:22 to 24,
,P012011,SEX BY AGE:Male:25 to 29,
,P012012,SEX BY AGE:Male:30 to 34,
,P012013,SEX BY AGE:Male:35 to 39,
,P012014,SEX BY AGE:Male:40 to 44,
,P012030,SEX BY AGE:Female:15 to 17,
,P012031,SEX BY AGE:Female:18'&'19,
,P012032,SEX BY AGE:Female:20,
,P012033,SEX BY AGE:Female:21,
,P012034,SEX BY AGE:Female:22 to 24,
,P012035,SEX BY AGE:Female:25 to 29,
,P012036,SEX BY AGE:Female:30 to 34,
,P012037,SEX BY AGE:Female:35 to 39,
,P012038,SEX BY AGE:Female:40 to 44,
,,,
Per_65_years_and_over(%),P012020,SEX BY AGE:Male:65'&'66,"100*(sum(P012020
P012021
P012022
P012023
P012024
P012025
P012044
P012045
P012046
P012047
P012048
P012049)/P001001)"
,P012021,SEX BY AGE:Male:67 to 69,
,P012022,SEX BY AGE:Male:70 to 74,
,P012023,SEX BY AGE:Male:75 to 79,
,P012024,SEX BY AGE:Male:80 to 84,
,P012025,SEX BY AGE:Male:85 yrs'&'over,
,P012044,SEX BY AGE:Female:65'&'66,
,P012045,SEX BY AGE:Female:67 to 69,
,P012046,SEX BY AGE:Female:70 to 74,
,P012047,SEX BY AGE:Female:75 to 79,
,P012048,SEX BY AGE:Female:80 to 84,
,P012049,SEX BY AGE:Female:85 yrs'&'over,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,P012003,SEX BY AGE:Male:'<'5,
,P012004,SEX BY AGE:Male:5 to 9,
,P012005,SEX BY AGE:Male:10 to 14,
,P012006,SEX BY AGE:Male:15 to 17,
,P012007,SEX BY AGE:Male:18'&'19,
,P012008,SEX BY AGE:Male:20,
,P012009,SEX BY AGE:Male:21,
,P012010,SEX BY AGE:Male:22 to 24,
,P012011,SEX BY AGE:Male:25 to 29,
,P012012,SEX BY AGE:Male:30 to 34,
,P012013,SEX BY AGE:Male:35 to 39,
,P012014,SEX BY AGE:Male:40 to 44,
,P012015,SEX BY AGE:Male:45 to 49,
,P012016,SEX BY AGE:Male:50 to 54,
,P012017,SEX BY AGE:Male:55 to 59,
,P012018,SEX BY AGE:Male:60'&'61,
,P012019,SEX BY AGE:Male:62 to 64,
,P012020,SEX BY AGE:Male:65'&'66,
,P012021,SEX BY AGE:Male:67 to 69,
,P012022,SEX BY AGE:Male:70 to 74,
,P012023,SEX BY AGE:Male:75 to 79,
,P012024,SEX BY AGE:Male:80 to 84,
,P012025,SEX BY AGE:Male:85 yrs'&'over,
,P012027,SEX BY AGE:Female:'<'5,
,P012028,SEX BY AGE:Female:5 to 9,
,P012029,SEX BY AGE:Female:10 to 14,
,P012030,SEX BY AGE:Female:15 to 17,
,P012031,SEX BY AGE:Female:18'&'19,
,P012032,SEX BY AGE:Female:20,
,P012033,SEX BY AGE:Female:21,
,P012034,SEX BY AGE:Female:22 to 24,
,P012035,SEX BY AGE:Female:25 to 29,
,P012036,SEX BY AGE:Female:30 to 34,
,P012037,SEX BY AGE:Female:35 to 39,
,P012038,SEX BY AGE:Female:40 to 44,
,P012039,SEX BY AGE:Female:45 to 49,
,P012040,SEX BY AGE:Female:50 to 54,
,P012041,SEX BY AGE:Female:55 to 59,
,P012042,SEX BY AGE:Female:60'&'61,
,P012043,SEX BY AGE:Female:62 to 64,
,P012044,SEX BY AGE:Female:65'&'66,
,P012045,SEX BY AGE:Female:67 to 69,
,P012046,SEX BY AGE:Female:70 to 74,
,P012047,SEX BY AGE:Female:75 to 79,
,P012048,SEX BY AGE:Female:80 to 84,
,P012049,SEX BY AGE:Female:85 yrs'&'over,
,,,
,,,
,,,
