FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
01,21184,0121184,Dothan city,Alabama,0,2000,57737,41.04,74.58,14.58,27093,30644,38873,17385,491,160,11,56973,764
01,03076,0103076,Auburn city,Alabama,0,2000,42987,69.09,84.64,6.43,21431,21556,33553,7217,1422,82,17,42321,666
01,07000,0107000,Birmingham city,Alabama,1,2000,242820,45.16,74.96,13.46,112046,130774,58457,178372,1942,422,87,239056,3764
01,35896,0135896,Hoover city,Alabama,1,2000,62742,44.63,75.23,10.86,30577,32165,54997,4248,1812,99,21,60362,2380
01,37000,0137000,Huntsville city,Alabama,1,2000,158216,43.98,76.86,13.38,76174,82042,101998,47792,3519,857,88,154991,3225
01,50000,0150000,Mobile city,Alabama,1,2000,198915,43.15,73.47,13.71,93015,105900,100251,92068,3022,487,52,196087,2828
01,51000,0151000,Montgomery city,Alabama,1,2000,201568,46.07,74.06,11.81,94573,106995,96085,100048,2146,500,71,199084,2484
01,77256,0177256,Tuscaloosa city,Alabama,1,2000,77906,53.24,80.18,11.76,37081,40825,42143,33287,1162,127,19,76814,1092
02,03000,0203000,Anchorage municipality,Alaska,1,2000,260283,48.29,70.85,5.47,131668,128615,188009,15199,14433,18941,2423,245484,14799
04,54050,0454050,Peoria city,Arizona,1,2000,108364,41.79,71.63,14.44,52058,56306,92050,3012,2077,734,120,91665,16699
04,23620,0423620,Flagstaff city,Arizona,0,2000,52894,56.48,75.74,5.34,26226,26668,41214,927,660,5284,65,44394,8500
04,04720,0404720,Avondale city,Arizona,1,2000,35883,47.86,65.76,5.29,18155,17728,22704,1866,678,459,52,19294,16589
04,07940,0407940,Buckeye town,Arizona,0,2000,6537,43.83,66.24,8.21,3297,3240,4742,220,29,112,5,4141,2396
04,12000,0412000,Chandler city,Arizona,1,2000,176581,50.73,70.20,5.82,88140,88441,136296,6151,7453,2121,251,139522,37059
04,27400,0427400,Gilbert town,Arizona,1,2000,109697,49.89,65.83,3.75,54531,55166,94043,2639,3937,676,134,96671,13026
04,27820,0427820,Glendale city,Arizona,1,2000,218812,47.38,69.90,7.39,109168,109644,165293,10270,6003,3181,293,164469,54343
04,28380,0428380,Goodyear city,Arizona,0,2000,18911,45.98,77.80,9.94,9625,9286,14775,983,323,200,16,14978,3933
04,46000,0446000,Mesa city,Arizona,1,2000,396375,45.14,72.66,13.34,196378,199997,323655,9977,5917,6572,932,318094,78281
04,55000,0455000,Phoenix city,Arizona,1,2000,1321045,48.46,71.05,8.08,671760,649285,938853,67416,26449,26696,1766,871073,449972
04,65000,0465000,Scottsdale city,Arizona,1,2000,202705,40.13,80.68,16.72,97785,104920,186883,2501,3964,1240,167,188594,14111
04,71510,0471510,Surprise city,Arizona,1,2000,30848,31.57,80.11,25.42,15158,15690,26521,806,329,134,16,23664,7184
04,73000,0473000,Tempe city,Arizona,1,2000,158625,57.84,80.15,7.19,81942,76683,122952,5801,7531,3186,455,130152,28473
04,10670,0410670,Casas Adobes CDP,Arizona,0,2000,54011,40.49,76.97,16.15,25610,28401,47889,891,1180,355,33,46577,7434
04,77000,0477000,Tucson city,Arizona,1,2000,486699,48.14,75.42,11.88,238408,248291,341424,21057,11959,11038,796,312831,173868
04,85540,0485540,Yuma city,Arizona,1,2000,77515,43.58,70.42,13.87,38589,38926,52968,2491,1164,1168,145,42115,35400
05,23290,0523290,Fayetteville city,Arkansas,1,2000,58047,58.76,80.05,8.68,29458,28589,50212,2969,1484,730,90,55226,2821
05,60410,0560410,Rogers city,Arkansas,0,2000,38829,44.82,70.56,11.79,18947,19882,33296,184,556,407,29,31339,7490
05,66080,0566080,Springdale city,Arkansas,1,2000,45798,46.52,70.99,10.24,22730,23068,37380,377,772,431,712,36793,9005
05,24550,0524550,Fort Smith city,Arkansas,1,2000,80268,43.31,74.58,13.71,38918,41350,61798,6943,3682,1358,43,73220,7048
05,35710,0535710,Jonesboro city,Arkansas,1,2000,55515,48.45,77.08,11.81,26610,28905,47394,6259,462,175,16,54218,1297
05,15190,0515190,Conway city,Arkansas,0,2000,43167,55.36,76.72,9.01,20515,22652,36272,5232,541,155,14,42184,983
05,41000,0541000,Little Rock city,Arkansas,1,2000,183133,45.68,75.30,11.65,86322,96811,100848,74003,3032,500,64,178244,4889
05,50450,0550450,North Little Rock city,Arkansas,0,2000,60433,41.74,74.50,14.59,28240,32193,37801,20535,356,249,20,58970,1463
06,03526,0603526,Bakersfield city,California,1,2000,247057,45.09,67.34,8.78,120105,126952,152849,22641,10708,3454,298,166887,80170
06,13014,0613014,Chico city,California,1,2000,59954,57.24,78.86,9.89,29422,30532,49377,1215,2524,782,115,52603,7351
06,14218,0614218,Clovis city,California,1,2000,68468,44.82,69.33,9.36,32868,35600,51914,1302,4441,1025,108,54592,13876
06,27000,0627000,Fresno city,California,1,2000,427652,45.74,67.08,9.25,210107,217545,214556,35763,48028,6763,583,257132,170520
06,45022,0645022,Madera city,California,0,2000,43207,46.27,64.58,8.82,21904,21303,20804,1665,618,1207,44,13933,29274
06,00884,0600884,Alhambra city,California,1,2000,85804,47.39,77.65,13.19,40418,45386,25758,1437,40520,614,86,55351,30453
06,02000,0602000,Anaheim city,California,1,2000,328014,48.16,69.83,8.16,164058,163956,179627,8735,39311,3041,1393,174640,153374
06,02364,0602364,Apple Valley town,California,1,2000,54239,38.50,68.45,13.73,26251,27988,41449,4277,1198,530,123,44172,10067
06,03666,0603666,Baldwin Park city,California,1,2000,75837,47.72,65.09,6.15,37911,37926,30472,1219,8826,1096,112,16177,59660
06,04982,0604982,Bellflower city,California,1,2000,72878,46.66,68.15,8.43,35520,37358,33593,9540,7062,667,511,41375,31503
06,08786,0608786,Buena Park city,California,1,2000,78282,46.54,70.59,9.33,38800,39482,41479,3000,16490,750,397,52061,26221
06,08954,0608954,Burbank city,California,1,2000,100316,46.65,77.73,12.82,48635,51681,72409,2066,9181,549,142,75363,24953
06,10046,0610046,Camarillo city,California,0,2000,57077,39.15,74.74,16.96,27641,29436,46036,856,4129,299,114,48208,8869
06,11530,0611530,Carson city,California,1,2000,89730,43.08,71.60,10.66,43315,46415,23049,22804,19987,505,2680,58398,31332
06,13210,0613210,Chino city,California,1,2000,67168,51.15,71.52,5.86,37223,29945,37412,5250,3308,628,139,35338,31830
06,13214,0613214,Chino Hills city,California,1,2000,66787,48.10,67.14,4.23,33207,33580,37656,3697,14744,375,85,49636,17151
06,15044,0615044,Compton city,California,1,2000,93493,45.69,61.50,6.89,45857,47636,15625,37690,237,656,985,40350,53143
06,16350,0616350,Corona city,California,1,2000,124966,48.51,66.60,5.83,61849,63117,77514,8031,9425,1086,387,80397,44569
06,16532,0616532,Costa Mesa city,California,1,2000,108724,53.44,76.76,8.45,55694,53030,75542,1520,7501,845,656,74201,34523
06,19766,0619766,Downey city,California,1,2000,107323,45.86,70.78,11.02,52176,55147,57395,4028,8308,929,236,45234,62089
06,20802,0620802,East Los Angeles CDP,California,0,2000,124283,48.28,65.44,7.90,62625,61658,48788,490,962,1603,70,3976,120307
06,22230,0622230,El Monte city,California,1,2000,115965,48.60,65.93,6.91,58584,57381,41360,889,21465,1596,140,32020,83945
06,24477,0624477,Florence-Graham CDP,California,0,2000,60197,48.53,60.03,4.87,30352,29845,14778,7908,70,590,56,8485,51712
06,24680,0624680,Fontana city,California,1,2000,128929,48.04,62.15,4.74,63982,64947,58006,15255,5618,1450,427,54505,74424
06,28000,0628000,Fullerton city,California,1,2000,126003,47.77,74.86,11.33,62276,63727,77977,2861,20259,865,296,87989,38014
06,29000,0629000,Garden Grove city,California,1,2000,165196,47.09,71.54,9.54,82688,82508,77443,2168,51078,1260,1081,111588,53608
06,30000,0630000,Glendale city,California,1,2000,194973,44.50,77.62,13.91,93074,101899,123960,2468,31424,629,163,156521,38452
06,32548,0632548,Hawthorne city,California,1,2000,84112,49.99,68.34,6.14,40448,43664,24618,27775,5660,629,721,46885,37227
06,33182,0633182,Hemet city,California,1,2000,58812,31.03,77.44,33.07,26941,31871,47335,1527,872,708,79,45227,13585
06,33434,0633434,Hesperia city,California,1,2000,62582,42.24,67.25,11.01,30865,31717,46485,2522,670,796,122,44182,18400
06,36000,0636000,Huntington Beach city,California,1,2000,189594,46.84,77.75,10.37,95004,94590,150194,1527,17709,1224,456,161796,27798
06,36448,0636448,Indio city,California,1,2000,49116,45.68,64.74,9.06,24710,24406,23903,1361,742,510,49,12088,37028
06,36546,0636546,Inglewood city,California,1,2000,112580,46.66,67.63,7.09,53423,59157,21505,53060,1280,773,410,60751,51829
06,36770,0636770,Irvine city,California,1,2000,143072,50.94,76.55,7.20,69235,73837,87354,2068,42672,257,194,132533,10539
06,39248,0639248,Laguna Niguel city,California,0,2000,61891,42.58,73.41,8.88,30137,31754,51682,776,4784,180,73,55466,6425
06,39486,0639486,Lake Elsinore city,California,0,2000,28928,46.55,63.98,6.68,14431,14497,18981,1501,592,374,87,17921,11007
06,39496,0639496,Lake Forest city,California,1,2000,58707,45.57,73.05,8.60,28863,29844,44629,1073,5693,295,120,47794,10913
06,39892,0639892,Lakewood city,California,1,2000,79345,43.49,72.45,11.86,38421,40924,49724,5825,10716,473,489,61274,18071
06,40130,0640130,Lancaster city,California,1,2000,118718,46.39,67.66,8.59,60257,58461,74573,19009,4523,1213,278,90074,28644
06,43000,0643000,Long Beach city,California,1,2000,461522,47.91,70.83,9.08,226718,234804,208410,68618,55591,3881,5605,296430,165092
06,44000,0644000,Los Angeles city,California,1,2000,3694820,48.98,73.44,9.67,1841805,1853015,1734036,415195,369254,29412,5915,1975747,1719073
06,44574,0644574,Lynwood city,California,1,2000,69845,49.78,61.96,4.20,35702,34143,23481,9451,533,839,269,12342,57503
06,48256,0648256,Mission Viejo city,California,1,2000,93102,41.48,72.85,10.89,45525,47577,77418,1067,7199,348,174,81836,11266
06,49270,0649270,Moreno Valley city,California,1,2000,142381,46.29,63.19,5.48,69645,72736,66689,28310,8427,1343,733,87692,54689
06,50076,0650076,Murrieta city,California,1,2000,44282,42.39,66.31,11.43,21704,22578,36152,1500,1775,293,98,36543,7739
06,51182,0651182,Newport Beach city,California,1,2000,70032,41.93,84.27,17.56,34638,35394,64583,371,2804,179,83,66731,3301
06,52526,0652526,Norwalk city,California,1,2000,103298,46.23,67.88,9.01,51109,52189,46303,4774,11924,1201,404,38333,64965
06,53896,0653896,Ontario city,California,1,2000,158007,48.64,65.63,5.90,79225,78782,75575,11864,6125,1682,587,63397,94610
06,53980,0653980,Orange city,California,1,2000,128821,47.41,73.34,9.63,64665,64156,90822,2056,12000,1010,296,87387,41434
06,54652,0654652,Oxnard city,California,1,2000,170358,47.81,68.23,8.12,87090,83268,71688,6446,12581,2143,698,57551,112807
06,55156,0655156,Palmdale city,California,1,2000,116670,45.46,62.01,5.59,57338,59332,63905,16913,4468,1198,224,72679,43991
06,56000,0656000,Pasadena city,California,1,2000,133936,47.45,76.89,12.11,65495,68441,71469,19319,13399,952,132,89202,44734
06,56700,0656700,Perris city,California,1,2000,36189,46.08,60.40,6.24,17739,18450,14909,5748,995,529,121,15867,20322
06,58072,0658072,Pomona city,California,1,2000,149473,48.61,65.38,6.39,75630,73843,62419,14398,10762,1883,311,53103,96370
06,59451,0659451,Rancho Cucamonga city,California,1,2000,127743,48.27,70.14,6.10,63895,63848,84987,10059,7656,855,341,92252,35491
06,59962,0659962,Redlands city,California,1,2000,63591,43.30,73.82,12.55,30024,33567,46858,2739,3257,597,146,48287,15304
06,60018,0660018,Redondo Beach city,California,1,2000,63261,51.98,81.20,8.48,31870,31391,49735,1592,5756,295,224,54737,8524
06,60466,0660466,Rialto city,California,1,2000,91873,45.43,62.31,6.43,44913,46960,36168,20464,2271,965,392,44823,47050
06,62000,0662000,Riverside city,California,1,2000,255166,47.74,69.94,9.03,125705,129461,151377,18906,14501,2779,991,157851,97315
06,65000,0665000,San Bernardino city,California,1,2000,185401,45.76,64.84,8.23,91150,94251,83849,30425,7772,2591,680,97379,88022
06,65042,0665042,San Buenaventura (Ventura) city,California,1,2000,100916,43.45,74.97,12.81,49654,51262,79511,1421,3028,1173,175,76343,24573
06,65084,0665084,San Clemente city,California,0,2000,49936,42.34,75.90,13.08,25264,24672,43905,385,1317,307,69,42003,7933
06,69000,0669000,Santa Ana city,California,1,2000,337977,51.71,65.82,5.49,175219,162758,144425,5749,29778,4013,1160,80880,257097
06,69088,0669088,Santa Clarita city,California,1,2000,151088,46.39,69.70,7.10,74764,76324,120157,3122,7923,886,220,120120,30968
06,70000,0670000,Santa Monica city,California,1,2000,84084,48.33,85.36,14.36,40517,43567,65832,3176,6100,396,86,72780,11304
06,72016,0672016,Simi Valley city,California,1,2000,111351,45.22,71.55,7.64,55098,56253,90561,1401,7052,780,154,92622,18729
06,73080,0673080,South Gate city,California,1,2000,96375,49.33,64.43,5.45,47767,48608,40136,923,804,901,114,7706,88669
06,73430,0673430,South Whittier CDP,California,0,2000,55193,46.96,66.95,8.21,27710,27483,28958,812,1669,678,142,16937,38256
06,78120,0678120,Temecula city,California,1,2000,57716,46.25,65.29,7.10,28510,29206,45555,1974,2728,497,174,46742,10974
06,78582,0678582,Thousand Oaks city,California,1,2000,117005,41.31,74.03,11.11,57440,59565,99563,1241,6873,627,124,101677,15328
06,80000,0680000,Torrance city,California,1,2000,137946,43.15,76.99,14.08,67087,70859,81605,3022,39462,560,481,120309,17637
06,80854,0680854,Tustin city,California,1,2000,67504,50.98,73.15,7.12,33044,34460,39639,1970,10058,448,203,44394,23110
06,81344,0681344,Upland city,California,1,2000,68393,43.40,72.66,10.76,32872,35521,45966,5164,4969,518,101,49563,18830
06,82590,0682590,Victorville city,California,1,2000,64029,42.34,65.77,11.17,31004,33025,39091,7630,2226,713,129,42603,21426
