ET variable name,Example data,Format,Original Variable name,Original Variable Description,Source Table,Source file,Source origin,Calculation or Transformation,
FIPS_STATE,36,Text (coded),State (FIPS),State (FIPS),Geocode,https://github.com/kschnippel/Reference_Place/blob/master/Geocodes/all-geocodes-v2018.csv,https://www.census.gov/programs-surveys/geography/guidance/geo-identifiers.html,None,
FIPS_PLACE,51000,Text (coded),PLACE,Place FIPS CODE,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
FIPS_STATE_PLACE,3651000,Text (coded),None,None,,,,Combined STATE+PLACE,
CITY_NAME,New York city,Text,NAME,City Name,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
ST_NAME,New York,Text,NAME,State Name,Geocode,,https://www.census.gov/programs-surveys/geography/guidance/geo-identifiers.html,None,
NYU_500_LARGEST,1,Boolean,Calculated,None,NYU City Health Dataset,https://github.com/kschnippel/Census/blob/master/Urban/City_Health_data/top_500_pop.xlsx,https://www.cityhealthdashboard.com/,Using coding to check whether a city is in NYU CHD or not.,
YEAR,2000,Integer,,,2000 Decennial: Summary File 1,,,From API year,
POP_TOTAL,8008278,Integer,P001001,Population:Total,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
PER_AGE_15TO44,46.72,float(Percentage),Calculated,None,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,,* Please use Age_grouping_2000 for each variable label
PER_AGE_18PLUS,75.77,float(Percentage),P005001,RACE 18+:Total,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
PER_AGE_15TO44,11.71,float(Percentage),Calculated,None,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,,* Please use Age_grouping_2000 for each variable label
POP_MALE,3794204,Integer,P012002,SEX BY AGE:Total Male,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_FEMALE,4214074,Integer,P012026,SEX BY AGE:Total Female,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_WHITE,3576385,Integer,P007002,RACE:White alone,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_BLACK,2129762,Integer,P007003,RACE:Bl/AfAm alone,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_ASIAN,787047,Integer,P007005,RACE:Asian alone,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_AIAN,41289,Integer,P007004,RACE:AmInd/AK alone,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_NHOPI,5430,Integer,P007006,RACE:HI alone,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_NONHISPANIC,5847724,Integer,P004003,HISPANIC:Total notHispanic or Latino,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
POP_HISPANIC,2160554,Integer,P004002,HISPANIC:Total Hispanic or Latino,2000 Decennial: Summary File 1,,https://api.census.gov/data/2000/sf1/variables.html,None,
