Our Variable,Variable Name,Variable Label,Calculation or Transformation
Per_15to44_years(%),B01001_006E,Estimate!!Total!!Male!!15 to 17 years,"100*(sum(B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E, B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_030E,B01001_031E, B01001_032E,B01001_033E,B01001_034E, B01001_035E, B01001_036E, B01001_037E, B01001_038E)/B01001_001E)"
,B01001_007E,Estimate!!Total!!Male!!18 and 19 years,
,B01001_008E,Estimate!!Total!!Male!!20 years,
,B01001_009E,Estimate!!Total!!Male!!21 years,
,B01001_010E,Estimate!!Total!!Male!!22 to 24 years,
,B01001_011E,Estimate!!Total!!Male!!25 to 29 years,
,B01001_012E,Estimate!!Total!!Male!!30 to 34 years,
,B01001_013E,Estimate!!Total!!Male!!35 to 39 years,
,B01001_014E,Estimate!!Total!!Male!!40 to 44 years,
,B01001_030E,Estimate!!Total!!Female!!15 to 17 years,
,B01001_031E,Estimate!!Total!!Female!!18 and 19 years,
,B01001_032E,Estimate!!Total!!Female!!20 years,
,B01001_033E,Estimate!!Total!!Female!!21 years,
,B01001_034E,Estimate!!Total!!Female!!22 to 24 years,
,B01001_035E,Estimate!!Total!!Female!!25 to 29 years,
,B01001_036E,Estimate!!Total!!Female!!30 to 34 years,
,B01001_037E,Estimate!!Total!!Female!!35 to 39 years,
,B01001_038E,Estimate!!Total!!Female!!40 to 44 years,
,,,
Per_18_years_and_over(%),B01001_001E,Estimate!!Total,"100*((B01001_001E -sum(B01001_003E,B01001_004E, B01001_005E, B01001_006E, B01001_027E, B01001_028E, B01001_029E, B01001_030E)/B01001_001E)"
,B01001_003E,Estimate!!Total!!Male!!Under 5 years,
,B01001_004E,Estimate!!Total!!Male!!5 to 9 years,
,B01001_005E,Estimate!!Total!!Male!!10 to 14 years,
,B01001_006E,Estimate!!Total!!Male!!15 to 17 years,
,B01001_027E,Estimate!!Total!!Female!!Under 5 years,
,B01001_028E,Estimate!!Total!!Female!!5 to 9 years,
,B01001_029E,Estimate!!Total!!Female!!10 to 14 years,
,B01001_030E,Estimate!!Total!!Female!!15 to 17 years,
,,,
Per_65_years_and_over(%),B01001_020E,Estimate!!Total!!Male!!65 and 66 years,"100*(sum(""B01001_020E, B01001_021E, B01001_022E, B01001_023E, B01001_024E, B01001_025E,B01001_044E,B01001_045E, B01001_046E, B01001_047E, B01001_048E, B01001_049E)/B01001_001E)"
,B01001_021E,Estimate!!Total!!Male!!67 to 69 years,
,B01001_022E,Estimate!!Total!!Male!!70 to 74 years,
,B01001_023E,Estimate!!Total!!Male!!75 to 79 years,
,B01001_024E,Estimate!!Total!!Male!!80 to 84 years,
,B01001_025E,Estimate!!Total!!Male!!85 years and over,
,B01001_044E,Estimate!!Total!!Female!!65 and 66 years,
,B01001_045E,Estimate!!Total!!Female!!67 to 69 years,
,B01001_046E,Estimate!!Total!!Female!!70 to 74 years,
,B01001_047E,Estimate!!Total!!Female!!75 to 79 years,
,B01001_048E,Estimate!!Total!!Female!!80 to 84 years,
,B01001_049E,Estimate!!Total!!Female!!85 years and over,
