Fips_State,Fips_Place,Fips_State_Place,City_Name,St_Name,NYU_500_Largest,Year,Pop_Total,Per_15to44_years(%),Per_18_years_and_over(%),Per_65_years_and_over(%),Pop_Male,Pop_Female,Pop_White,Pop_Black,Pop_Asian,Pop_AIAN,Pop_NHOPI,Pop_Nonhispanic,Pop_Hispanic
1,7000,107000,Birmingham city, Alabama,1,2010,211670,42.8,78.7,13.1,98760,112910,47657,158193,1528,593,0,204155,7515
1,21184,121184,Dothan city, Alabama,0,2010,66121,38.7,74.8,14.3,31087,35034,41867,21123,916,186,0,64104,2017
1,35896,135896,Hoover city, Alabama,1,2010,80376,39.7,71.3,12.4,38694,41682,57507,11555,5345,235,0,72254,8122
1,37000,137000,Huntsville city, Alabama,1,2010,181126,42.5,78.4,13.5,88132,92994,114796,53460,5734,434,161,170562,10564
1,50000,150000,Mobile city, Alabama,1,2010,195249,40.5,76.7,13.9,91746,103503,89418,98746,2621,474,53,190257,4992
1,51000,151000,Montgomery city, Alabama,1,2010,206655,43.5,75.3,11.8,97605,109050,78817,115853,4368,571,90,198566,8089
1,77256,177256,Tuscaloosa city, Alabama,1,2010,90637,50.7,79.9,11,43997,46640,48895,38870,861,0,0,86642,3995
2,3000,203000,Anchorage municipality, Alaska,1,2010,293227,44.6,74.1,7,148566,144661,195553,17874,23986,21787,6388,270925,22302
4,4720,404720,Avondale city, Arizona,1,2010,76446,45.6,66.5,4.6,39206,37240,59236,6888,1557,1039,189,32456,43990
4,12000,412000,Chandler city, Arizona,1,2010,236775,44,72.3,7.2,116459,120316,181872,12980,24702,1834,384,180028,56747
4,23620,423620,Flagstaff city, Arizona,0,2010,65976,58.1,80,7.6,31783,34193,47043,1248,1731,8413,51,54703,11273
4,27400,427400,Gilbert town, Arizona,1,2010,209007,43.9,70,5.8,103460,105547,173989,11926,10597,2577,205,180642,28365
4,27820,427820,Glendale city, Arizona,1,2010,227358,44.4,71.8,8.6,112794,114564,160175,15327,8313,4836,697,141901,85457
4,28380,428380,Goodyear city, Arizona,0,2010,65445,46.3,72.5,9.9,31194,34251,57568,2244,904,2116,0,43326,22119
4,46000,446000,Mesa city, Arizona,1,2010,440248,40.4,74.5,14.7,214522,225726,369684,13168,10333,11202,1308,324773,115475
4,54050,454050,Peoria city, Arizona,1,2010,154475,40.3,74.6,14.1,73403,81072,133143,5866,6887,1422,56,122187,32288
4,55000,455000,Phoenix city, Arizona,1,2010,1449481,45,72.2,8.7,731869,717612,1128609,100335,42050,24637,2515,877736,571745
4,64210,464210,San Tan Valley CDP, Arizona,0,2010,74977,44.4,60.7,6.1,36003,38974,49889,3298,2977,2077,1237,52826,22151
4,65000,465000,Scottsdale city, Arizona,1,2010,217977,33.5,82.6,19.8,104832,113145,200918,4118,5771,1397,169,202249,15728
4,71510,471510,Surprise city, Arizona,1,2010,117826,37,70.2,18.1,57572,60254,106563,3721,786,795,0,97971,19855
4,73000,473000,Tempe city, Arizona,1,2010,162123,56.8,80.7,9.9,83327,78796,127359,8114,9884,4731,1987,127900,34223
4,77000,477000,Tucson city, Arizona,1,2010,521132,45.6,77.3,12,258275,262857,406502,24883,12609,16563,1026,309756,211376
4,85540,485540,Yuma city, Arizona,1,2010,93409,45.1,70.2,10.5,46307,47102,60535,2827,1616,845,107,40308,53101
5,23290,523290,Fayetteville city, Arkansas,1,2010,73946,57.6,81.3,9.9,35991,37955,63496,4865,1361,1111,0,69737,4209
5,24550,524550,Fort Smith city, Arkansas,1,2010,86338,41.9,74.9,12,42421,43917,68833,8336,4413,452,0,72034,14304
5,35710,535710,Jonesboro city, Arkansas,1,2010,67486,48.7,74.3,10.3,33384,34102,-998,-998,-998,-998,-998,63847,3639
5,41000,541000,Little Rock city, Arkansas,1,2010,193973,41.6,73.5,11.3,91274,102699,102579,83780,5377,745,50,183124,10849
5,66080,566080,Springdale city, Arkansas,1,2010,70751,44.6,66.1,7.7,33760,36991,47566,2264,938,277,3734,47872,22879
6,562,600562,Alameda city, California,1,2010,73981,40.7,75.9,11.6,34930,39051,34074,6738,24442,267,999,64946,9035
6,884,600884,Alhambra city, California,1,2010,83202,45.6,83.5,16.1,38154,45048,21262,972,43049,45,0,53545,29657
6,2000,602000,Anaheim city, California,1,2010,337259,46,73.6,9.4,171859,165400,195457,9062,46131,1122,886,155244,182015
6,2252,602252,Antioch city, California,1,2010,102745,41.7,73,9.8,49453,53292,52584,13027,12011,856,1962,61143,41602
6,2364,602364,Apple Valley town, California,1,2010,69387,36,72,14.9,32930,36457,57326,5677,1642,72,0,48517,20870
6,2553,602553,Arden-Arcade CDP, California,0,2010,87272,42.9,79.9,15.2,40372,46900,62644,7495,5002,1018,432,67522,19750
6,3526,603526,Bakersfield city, California,1,2010,348582,43.4,68.3,8.7,173473,175109,227269,28173,19603,3005,162,186631,161951
6,3666,603666,Baldwin Park city, California,1,2010,75496,43.6,68.4,8.6,35872,39624,26445,1106,11720,800,0,14476,61020
6,4982,604982,Bellflower city, California,1,2010,76717,44.2,73.8,10.4,35921,40796,28663,11667,8193,685,0,38669,38048
6,6000,606000,Berkeley city, California,1,2010,112824,55,86.9,12.1,53328,59496,69208,12520,23378,123,162,100839,11985
6,8786,608786,Buena Park city, California,1,2010,80766,42.5,74.4,10.3,37841,42925,45296,3090,24593,179,1844,50095,30671
6,8954,608954,Burbank city, California,1,2010,103472,42.3,81,14.5,48500,54972,79813,1402,14119,45,0,81873,21599
6,10046,610046,Camarillo city, California,0,2010,65406,31.5,77.1,21.6,29023,36383,47381,1112,8803,486,53,49677,15729
6,11194,611194,Carlsbad city, California,1,2010,105707,39.7,77.7,11.5,53138,52569,91926,1273,6505,71,81,94188,11519
6,11530,611530,Carson city, California,1,2010,91828,41.3,76.8,12.3,45492,46336,27324,18854,26705,685,2783,58656,33172
6,13014,613014,Chico city, California,1,2010,86213,51.5,82.6,10.5,41857,44356,70317,2218,4576,1251,113,72373,13840
6,13210,613210,Chino city, California,1,2010,78237,49,73.3,6.8,40030,38207,46160,4675,8643,554,244,33284,44953
6,13214,613214,Chino Hills city, California,1,2010,75070,41.1,74.4,7.2,35798,39272,38186,2559,21633,186,112,47363,27707
6,13392,613392,Chula Vista city, California,1,2010,244789,43.1,72,10.1,115293,129496,160287,13237,39342,1317,180,109018,135771
6,13588,613588,Citrus Heights city, California,1,2010,83490,42.3,78.1,13.3,40704,42786,69968,1557,1318,739,45,68089,15401
6,14218,614218,Clovis city, California,1,2010,95915,42.5,72.1,12.2,48070,47845,67689,4200,7737,2349,53,70572,25343
6,15044,615044,Compton city, California,1,2010,96558,46.1,68.1,6.6,46880,49678,45389,33840,144,352,0,35549,61009
6,16000,616000,Concord city, California,1,2010,122508,42.1,77.4,11.8,58950,63558,87092,5132,13221,773,1024,90511,31997
6,16350,616350,Corona city, California,1,2010,153335,44.3,70.7,7.6,77726,75609,109403,6207,14952,1160,2736,89151,64184
6,16532,616532,Costa Mesa city, California,1,2010,110253,50.8,78.6,8.5,56717,53536,71905,1223,8931,620,252,66662,43591
6,17918,617918,Daly City city, California,1,2010,101361,43.5,78.3,11.7,49447,51914,27862,2862,57504,237,137,76768,24593
6,18100,618100,Davis city, California,0,2010,65740,54.3,78.6,8.8,32556,33184,43957,1396,13409,57,392,57790,7950
6,19766,619766,Downey city, California,1,2010,111922,44.7,73.7,10.1,56251,55671,48458,3782,7344,522,95,29383,82539
6,20802,620802,East Los Angeles CDP, California,0,2010,127198,49.3,70.3,7.7,66095,61103,65495,592,828,861,121,3190,124008
6,21712,621712,El Cajon city, California,1,2010,99841,44.8,72.1,9.8,49497,50344,73778,6502,4333,1030,184,70350,29491
6,22020,622020,Elk Grove city, California,1,2010,153401,40.4,70.4,8.9,75206,78195,68196,15492,39696,766,4995,124091,29310
6,22230,622230,El Monte city, California,1,2010,113614,45,74.7,11.4,55826,57788,42040,516,30841,1091,309,40612,73002
6,22804,622804,Escondido city, California,1,2010,144402,43.6,74.7,15.2,69294,75108,124845,2746,4041,713,127,78060,66342
6,23182,623182,Fairfield city, California,1,2010,105580,42.1,72.1,9.8,50417,55163,48600,16947,16620,686,926,77836,27744
6,24638,624638,Folsom city, California,1,2010,72348,44,76.7,8.9,40490,31858,49590,6119,10103,819,1189,64218,8130
6,24680,624680,Fontana city, California,1,2010,196778,46.6,69.2,6.4,97566,99212,118496,24506,11995,1058,960,74594,122184
6,26000,626000,Fremont city, California,1,2010,214613,42.1,75.9,10,106745,107868,73507,10342,100448,513,1060,181072,33541
6,27000,627000,Fresno city, California,1,2010,496147,45.1,69.3,9,242478,253669,266945,37239,65354,3676,1113,264057,232090
6,28000,628000,Fullerton city, California,1,2010,135541,45,75.9,11.9,65943,69598,71470,3335,31413,1002,93,85487,50054
6,29000,629000,Garden Grove city, California,1,2010,171386,46.2,75.7,11.4,86320,85066,76555,1659,68161,1044,2816,113134,58252
6,30000,630000,Glendale city, California,1,2010,191954,40.3,78.6,13.7,93963,97991,147731,1589,29723,342,770,159506,32448
6,32548,632548,Hawthorne city, California,1,2010,84382,46.4,71.3,8.5,41338,43044,45462,23286,4362,182,495,39370,45012
6,33000,633000,Hayward city, California,1,2010,144549,44.9,74.3,9.2,71220,73329,52958,16618,31695,2019,2752,84898,59651
6,33182,633182,Hemet city, California,1,2010,79157,35.4,71,20.6,38486,40671,59681,4875,2724,794,0,48268,30889
6,33434,633434,Hesperia city, California,1,2010,90486,42,70.2,10,44418,46068,69120,6690,2876,1848,83,51745,38741
6,36000,636000,Huntington Beach city, California,1,2010,190541,39.2,80.5,15.1,92967,97574,144668,1637,21949,1494,0,156045,34496
6,36448,636448,Indio city, California,1,2010,76512,38.8,68.8,14.4,35697,40815,49162,1446,1546,403,0,23866,52646
6,36546,636546,Inglewood city, California,1,2010,109799,45.6,74.1,9.4,50085,59714,26774,43423,1045,372,957,52398,57401
6,36770,636770,Irvine city, California,1,2010,212982,52.1,79.5,8.5,105706,107276,111516,3603,82165,1161,905,192011,20971
6,39496,639496,Lake Forest city, California,1,2010,77482,39.7,71.6,10.1,38373,39109,61680,1409,8862,476,81,59631,17851
6,39892,639892,Lakewood city, California,1,2010,80154,39.2,75.4,11.9,39559,40595,38530,5776,12403,396,101,50546,29608
6,40130,640130,Lancaster city, California,1,2010,156786,42.7,69.1,8.9,77100,79686,98660,35510,7645,1218,217,101194,55592
6,41992,641992,Livermore city, California,1,2010,81178,40.1,76,9.8,40563,40615,67952,2003,6895,65,0,63926,17252
6,43000,643000,Long Beach city, California,1,2010,462793,47.8,75.8,8.8,232262,230531,262737,55094,57230,2243,4515,266596,196197
6,44000,644000,Los Angeles city, California,1,2010,3797144,47.3,76.7,10.4,1879472,1917672,1980767,362142,430314,15393,6700,1943870,1853274
6,44574,644574,Lynwood city, California,1,2010,69863,52.7,70.8,5.3,33415,36448,-998,-998,-998,-998,-998,10161,59702
6,45484,645484,Manteca city, California,1,2010,67338,39.8,69,9.1,33320,34018,48355,3899,7207,633,161,43396,23942
6,46842,646842,Menifee city, California,1,2010,78018,34.5,73.8,21.8,38486,39532,60885,5397,1768,452,44,53979,24039
