FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
72,6593,7206593,Bayamón zona urbana, Puerto Rico,0,2015,170259,40.1,80.4,19.6,80128,90131,102122,12028,118,302,0,1104,169155
72,52431,7252431,Mayagüez zona urbana, Puerto Rico,0,2015,66581,41.3,80.3,21,30799,35782,17887,2916,155,0,0,1060,65521
1,7000,107000,Birmingham city, Alabama,1,2015,214911,42.7,79.2,13.8,102122,112789,49826,156354,1394,438,0,205971,8940
1,21184,121184,Dothan city, Alabama,0,2015,67536,38.6,76.2,16.9,32172,35364,42298,22489,770,238,140,65832,1704
1,35896,135896,Hoover city, Alabama,1,2015,84839,37.8,74.2,15.5,38040,46799,60365,17378,4505,0,0,81409,3430
1,37000,137000,Huntsville city, Alabama,1,2015,189114,40.7,79.7,15.8,91764,97350,117924,59235,4785,259,47,178227,10887
1,50000,150000,Mobile city, Alabama,1,2015,194305,41.1,78.9,15.4,91275,103030,89161,93089,4854,372,0,189076,5229
1,51000,151000,Montgomery city, Alabama,1,2015,200586,42.5,76.5,13.5,94582,106004,70322,119588,4575,232,16,193938,6648
1,77256,177256,Tuscaloosa city, Alabama,1,2015,98338,54.1,83.2,10.8,47293,51045,52144,42061,2577,128,275,95863,2475
2,3000,203000,Anchorage municipality, Alaska,1,2015,298695,45.7,75.2,9.2,152945,145750,188025,18385,29106,19466,5556,271434,27261
4,4720,404720,Avondale city, Arizona,1,2015,80683,45.4,67.8,7.8,38712,41971,60327,10505,2243,313,73,45967,34716
4,10670,410670,Casas Adobes CDP, Arizona,0,2015,65265,35.6,81.9,22.8,30890,34375,55162,847,2082,752,603,51656,13609
4,12000,412000,Chandler city, Arizona,1,2015,260833,42.6,74,9.9,128885,131948,199992,12847,28715,3978,0,203674,57159
4,23620,423620,Flagstaff city, Arizona,0,2015,70317,59.4,81.1,7.5,33224,37093,55560,1749,1830,4520,183,56711,13606
4,27400,427400,Gilbert town, Arizona,1,2015,247523,42.8,69.3,7.3,116711,130812,204014,7024,16558,4009,276,207586,39937
4,27820,427820,Glendale city, Arizona,1,2015,240114,42.3,74.2,11.2,116795,123319,193269,12775,12331,1738,468,156403,83711
4,28380,428380,Goodyear city, Arizona,0,2015,79003,40.9,75.6,15,36711,42292,61361,7878,4700,303,103,57400,21603
4,46000,446000,Mesa city, Arizona,1,2015,471833,40.4,76.4,16,234998,236835,397988,17601,10340,10504,2110,340408,131425
4,54050,454050,Peoria city, Arizona,1,2015,171242,36.2,73.5,15.3,80139,91103,146359,6167,4752,1808,522,130113,41129
4,55000,455000,Phoenix city, Arizona,1,2015,1563001,44.2,73.7,10.4,786833,776168,1119488,110408,51845,31203,2672,893087,669914
4,64210,464210,San Tan Valley CDP, Arizona,0,2015,82797,40.3,66.1,10.2,40429,42368,71208,1631,954,2296,0,64064,18733
4,65000,465000,Scottsdale city, Arizona,1,2015,236844,34.7,84.6,24.1,115712,121132,200629,3831,9212,5212,599,212078,24766
4,71510,471510,Surprise city, Arizona,1,2015,128442,35.2,72.6,21.1,62875,65567,110910,7720,1605,267,280,103076,25366
4,73000,473000,Tempe city, Arizona,1,2015,175826,57.6,83.8,9.5,91350,84476,124518,9759,14658,3355,821,131422,44404
4,77000,477000,Tucson city, Arizona,1,2015,531674,45.5,78.4,13.7,264893,266781,386958,27290,16623,17754,641,300649,231025
4,85540,485540,Yuma city, Arizona,1,2015,94145,42.7,75.7,15.2,48298,45847,67688,2868,727,498,0,37091,57054
5,23290,523290,Fayetteville city, Arkansas,1,2015,82832,57,81,10.3,41959,40873,64520,6403,3305,318,0,77297,5535
5,24550,524550,Fort Smith city, Arkansas,1,2015,88195,40.1,75.8,14.4,43346,44849,62947,9447,5210,1301,0,71091,17104
5,35710,535710,Jonesboro city, Arkansas,1,2015,73906,48.2,75.7,12.2,35666,38240,54103,12712,1282,1473,0,69292,4614
5,41000,541000,Little Rock city, Arkansas,1,2015,197986,41.8,77.1,13.1,96997,100989,100467,84068,7412,37,59,182486,15500
5,50450,550450,North Little Rock city, Arkansas,0,2015,66506,42.6,71.1,12.9,31671,34835,-998,-998,-998,-998,-998,61646,4860
5,66080,566080,Springdale city, Arkansas,1,2015,80454,42.8,69.6,9.2,36840,43614,55848,1537,1239,259,5227,50254,30200
6,562,600562,Alameda city, California,1,2015,78614,38.8,80.9,14.8,37747,40867,39158,6085,24025,342,758,70349,8265
6,884,600884,Alhambra city, California,1,2015,85572,42.5,83.8,15.3,42184,43388,19318,1508,43279,42,243,54186,31386
6,2000,602000,Anaheim city, California,1,2015,350738,46.5,75.2,10.3,179603,171135,252059,8238,48515,818,1362,149145,201593
6,2252,602252,Antioch city, California,1,2015,110542,41.1,73.3,9.9,54733,55809,45776,21411,11135,1404,2698,74979,35563
6,2364,602364,Apple Valley town, California,1,2015,72185,37,71.1,17.1,32873,39312,57222,6703,1322,782,45,46257,25928
6,2553,602553,Arden-Arcade CDP, California,0,2015,96276,39,81.2,17.8,47596,48680,65115,11373,5938,599,0,81003,15273
6,3526,603526,Bakersfield city, California,1,2015,373627,45,70.9,9.4,182154,191473,263245,31245,29215,3791,783,193386,180241
6,3666,603666,Baldwin Park city, California,1,2015,77056,40.2,75.1,13,38747,38309,35892,1504,14954,237,0,20774,56282
6,4982,604982,Bellflower city, California,1,2015,78434,44.3,71.3,11.5,38936,39498,21887,12191,10080,486,151,35962,42472
6,6000,606000,Berkeley city, California,1,2015,120971,54.3,87,14.1,60142,60829,76218,9122,22282,666,100,105542,15429
6,8786,608786,Buena Park city, California,1,2015,83264,41.1,74.1,12.6,41593,41671,46459,790,23363,158,1856,50349,32915
6,8954,608954,Burbank city, California,1,2015,105314,41.3,77.6,13.8,50405,54909,75789,2842,12866,525,0,83225,22089
6,10046,610046,Camarillo city, California,0,2015,67623,35.5,77.6,21.8,31941,35682,56522,919,5247,28,0,51437,16186
6,11194,611194,Carlsbad city, California,1,2015,113466,36.4,77.5,17,55119,58347,96043,513,10219,540,223,100497,12969
6,11390,611390,Carmichael CDP, California,0,2015,63215,36.9,78.8,18.6,29281,33934,50066,3123,1617,210,268,53924,9291
6,11530,611530,Carson city, California,1,2015,93296,40,80.6,17.1,43790,49506,26187,18859,29489,1579,2389,60358,32938
6,13014,613014,Chico city, California,1,2015,90336,52.4,81.3,13.2,46168,44168,75512,1191,4554,879,134,74758,15578
6,13210,613210,Chino city, California,1,2015,85599,46.7,80.9,9.3,50989,34610,38503,4386,10959,504,146,40104,45495
6,13214,613214,Chino Hills city, California,1,2015,78313,39.1,78.7,10.8,39639,38674,37675,3221,26951,719,124,55774,22539
6,13392,613392,Chula Vista city, California,1,2015,265754,44,74.1,11.4,131485,134269,173466,13412,42433,823,1354,109232,156522
6,13588,613588,Citrus Heights city, California,1,2015,87053,40.1,78.9,16.8,41982,45071,74148,4782,2215,109,196,72392,14661
6,14218,614218,Clovis city, California,1,2015,104172,39.5,75.9,14.7,52392,51780,74136,2721,12745,731,0,80428,23744
6,15044,615044,Compton city, California,1,2015,98448,44.5,71.5,9,49264,49184,52935,25938,1624,269,981,30925,67523
