state_abbr,state_fips,place_fips,stpl_fips,city_name
NY,36,51000,3651000,New York
CA,06,44000,0644000,Los Angeles
IL,17,14000,1714000,Chicago
TX,48,35000,4835000,Houston
AZ,04,55000,0455000,Phoenix
PA,42,60000,4260000,Philadelphia
TX,48,65000,4865000,San Antonio
CA,06,66000,0666000,San Diego
TX,48,19000,4819000,Dallas
CA,06,68000,0668000,San Jose
HI,15,00003,0015003,Honolulu
TX,48,05000,4805000,Austin
FL,12,35000,1235000,Jacksonville
CA,06,67000,0667000,San Francisco
OH,39,18000,3918000,Columbus
IN,18,36003,1836003,Indianapolis
TX,48,27000,4827000,Fort Worth
WA,53,63000,5363000,Seattle
CO,08,20000,0820000,Denver
DC,11,50000,1150000,Washington
TX,48,24000,4824000,El Paso
MA,25,07000,2507000,Boston
MI,26,22000,2622000,Detroit
TN,47,52006,4752006,Nashville
TN,47,48000,4748000,Memphis
OR,41,59000,4159000,Portland
OK,40,55000,4055000,Oklahoma City
NV,32,40000,3240000,Las Vegas
MD,24,04000,2404000,Baltimore
WI,55,53000,5553000,Milwaukee
NM,35,02000,3502000,Albuquerque
AZ,04,77000,0477000,Tucson
CA,06,27000,0627000,Fresno
CA,06,64000,0664000,Sacramento
AZ,04,46000,0446000,Mesa
MO,29,38000,2938000,Kansas City
GA,13,04000,1304000,Atlanta
CA,06,43000,0643000,Long Beach
NE,31,37000,3137000,Omaha
CO,08,16000,0816000,Colorado Springs
FL,12,45000,1245000,Miami
VA,51,82000,5182000,Virginia Beach
CA,06,53000,0653000,Oakland
MN,27,43000,2743000,Minneapolis
OK,40,75000,4075000,Tulsa
TX,48,04000,4804000,Arlington
LA,22,55000,2255000,New Orleans
KS,20,79000,2079000,Wichita
OH,39,16000,3916000,Cleveland
FL,12,71000,1271000,Tampa
CA,06,03526,0603526,Bakersfield
CO,08,04000,0804000,Aurora
CA,06,02000,0602000,Anaheim
CA,06,69000,0669000,Santa Ana
TX,48,17000,4817000,Corpus Christi
CA,06,62000,0662000,Riverside
KY,21,46027,2146027,Lexington
MO,29,65000,2965000,St. Louis
CA,06,75000,0675000,Stockton
PA,42,61000,4261000,Pittsburgh
MN,27,58000,2758000,St. Paul
OH,39,15000,3915000,Cincinnati
AK,02,03000,0203000,Anchorage
NV,32,31900,3231900,Henderson
TX,48,58016,4858016,Plano
NE,31,28000,3128000,Lincoln
NJ,34,51000,3451000,Newark
OH,39,77000,3977000,Toledo
FL,12,53000,1253000,Orlando
CA,06,13392,0613392,Chula Vista
CA,06,36770,0636770,Irvine
IN,18,25000,1825000,Fort Wayne
NJ,34,36000,3436000,Jersey City
FL,12,63000,1263000,St. Petersburg
TX,48,41464,4841464,Laredo
NY,36,11000,3611000,Buffalo
WI,55,48000,5548000,Madison
TX,48,45000,4845000,Lubbock
AZ,04,12000,0412000,Chandler
AZ,04,65000,0465000,Scottsdale
VA,51,57000,5157000,Norfolk
AZ,04,27820,0427820,Glendale
NV,32,60600,3260600,Reno
TX,48,37000,4837000,Irving
TX,48,29000,4829000,Garland
VA,51,16000,5116000,Chesapeake
AZ,04,27400,0427400,Gilbert
FL,12,30000,1230000,Hialeah
NV,32,51800,3251800,North Las Vegas
CA,06,26000,0626000,Fremont
LA,22,05000,2205000,Baton Rouge
ID,16,08830,1608830,Boise City
VA,51,67000,5167000,Richmond
CA,06,65000,0665000,San Bernardino
WA,53,67000,5367000,Spokane
AL,01,07000,0107000,Birmingham
CA,06,48354,0648354,Modesto
WA,53,70000,5370000,Tacoma
CA,06,69088,0669088,Santa Clarita
CA,06,24680,0624680,Fontana
NY,36,63000,3663000,Rochester
CA,06,54652,0654652,Oxnard
CA,06,49270,0649270,Moreno Valley
IL,17,03012,1703012,Aurora
CA,06,36000,0636000,Huntington Beach
CA,06,30000,0630000,Glendale
AL,01,51000,0151000,Montgomery
NY,36,84000,3684000,Yonkers
TX,48,03000,4803000,Amarillo
OH,39,01000,3901000,Akron
AR,05,41000,0541000,Little Rock
MI,26,34000,2634000,Grand Rapids
UT,49,67000,4967000,Salt Lake City
LA,22,70000,2270000,Shreveport
AL,01,50000,0150000,Mobile
TX,48,30464,4830464,Grand Prairie
FL,12,70600,1270600,Tallahassee
KS,20,53775,2053775,Overland Park
TN,47,40000,4740000,Knoxville
MA,25,82000,2582000,Worcester
FL,12,58715,1258715,Port St. Lucie
AZ,04,73000,0473000,Tempe
TX,48,10768,4810768,Brownsville
CA,06,70098,0670098,Santa Rosa
VA,51,56000,5156000,Newport News
RI,44,59000,4459000,Providence
FL,12,24000,1224000,Fort Lauderdale
FL,12,10275,1210275,Cape Coral
WA,53,74060,5374060,Vancouver
TN,47,14000,4714000,Chattanooga
CA,06,59451,0659451,Rancho Cucamonga
CA,06,53322,0653322,Oceanside
SD,46,59020,4659020,Sioux Falls
CA,06,29000,0629000,Garden Grove
CA,06,53896,0653896,Ontario
TX,48,45744,4845744,McKinney
CA,06,22020,0622020,Elk Grove
FL,12,55775,1255775,Pembroke Pines
OR,41,64900,4164900,Salem
MO,29,70000,2970000,Springfield
OR,41,23850,4123850,Eugene
TX,48,27684,4827684,Frisco
CA,06,16350,0616350,Corona
AZ,04,54050,0454050,Peoria
CO,08,27425,0827425,Fort Collins
CA,06,40130,0640130,Lancaster
CA,06,33000,0633000,Hayward
CA,06,55156,0655156,Palmdale
CA,06,64224,0664224,Salinas
VA,51,01000,5101000,Alexandria
MA,25,67000,2567000,Springfield
TX,48,56000,4856000,Pasadena
CA,06,58072,0658072,Pomona
CA,06,77000,0677000,Sunnyvale
CA,06,22804,0622804,Escondido
FL,12,32000,1232000,Hollywood
TN,47,15160,4715160,Clarksville
IL,17,38570,1738570,Joliet
IL,17,65000,1765000,Rockford
IL,17,51622,1751622,Naperville
CT,09,08000,0908000,Bridgeport
CA,06,80000,0680000,Torrance
NJ,34,57000,3457000,Paterson
GA,13,69000,1369000,Savannah
TX,48,47892,4847892,Mesquite
NY,36,73000,3673000,Syracuse
TX,48,39148,4839148,Killeen
WA,53,05210,5305210,Bellevue
TX,48,45384,4845384,McAllen
CA,06,56000,0656000,Pasadena
OH,39,21000,3921000,Dayton
CA,06,53980,0653980,Orange
CA,06,28000,0628000,Fullerton
FL,12,45975,1245975,Miramar
KS,20,52575,2052575,Olathe
UT,49,83470,4983470,West Valley City
VA,51,35000,5135000,Hampton
MI,26,84000,2684000,Warren
TX,48,48072,4848072,Midland
CO,08,77290,0877290,Thornton
TX,48,76000,4876000,Waco
SC,45,13330,4513330,Charleston
TX,48,19972,4819972,Denton
TX,48,13024,4813024,Carrollton
SC,45,16000,4516000,Columbia
CA,06,62938,0662938,Roseville
AZ,04,71510,0471510,Surprise
MI,26,76460,2676460,Sterling Heights
FL,12,14400,1214400,Coral Springs
CA,06,82954,0682954,Visalia
TN,47,51560,4751560,Murfreesboro
FL,12,25175,1225175,Gainesville
CT,09,52000,0952000,New Haven
CT,09,73000,0973000,Stamford
CA,06,16000,0616000,Concord
CA,06,78582,0678582,Thousand Oaks
NJ,34,21000,3421000,Elizabeth
WA,53,35415,5335415,Kent
KS,20,71000,2071000,Topeka
LA,22,40735,2240735,Lafayette
CA,06,69084,0669084,Santa Clara
CA,06,72016,0672016,Simi Valley
TX,48,01000,4801000,Abilene
CT,09,37000,0937000,Hartford
CA,06,82590,0682590,Victorville
OK,40,52500,4052500,Norman
CA,06,81666,0681666,Vallejo
CA,06,06000,0606000,Berkeley
MI,26,03000,2603000,Ann Arbor
PA,42,02000,4202000,Allentown
MO,29,15670,2915670,Columbia
ND,38,25700,3825700,Fargo
TX,48,63500,4863500,Round Rock
IN,18,22000,1822000,Evansville
TX,48,07000,4807000,Beaumont
TX,48,53388,4853388,Odessa
TX,48,70808,4870808,Sugar Land
TX,48,56348,4856348,Pearland
CO,08,03455,0803455,Arvada
MO,29,35000,2935000,Independence
MI,26,46000,2646000,Lansing
IL,17,72000,1772000,Springfield
UT,49,62470,4962470,Provo
CA,06,22230,0622230,El Monte
MA,25,11000,2511000,Cambridge
IL,17,59000,1759000,Peoria
TX,48,61796,4861796,Richardson
CA,06,23182,0623182,Fairfield
FL,12,12875,1212875,Clearwater
MN,27,54880,2754880,Rochester
CA,06,11194,0611194,Carlsbad
CA,06,16532,0616532,Costa Mesa
UT,49,82950,4982950,West Jordan
IL,17,23074,1723074,Elgin
FL,12,45060,1245060,Miami Gardens
CA,06,19766,0619766,Downey
CO,08,83835,0883835,Westminster
CA,06,78120,0678120,Temecula
NH,33,45140,3345140,Manchester
CA,06,50076,0650076,Murrieta
MA,25,37000,2537000,Lowell
TX,48,15976,4815976,College Station
OR,41,31250,4131250,Gresham
CA,06,02252,0602252,Antioch
CA,06,36546,0636546,Inglewood
FL,12,54000,1254000,Palm Bay
CA,06,65042,0665042,San Buenaventura (Ventura)
CO,08,62000,0862000,Pueblo
SC,45,50875,4550875,North Charleston
CO,08,12815,0812815,Centennial
MT,30,06550,3006550,Billings
